#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-19T18:07:33.626228884Z,Response,received,client,client_1689790053597043613,1689790053626225338
,,1,2023-07-19T18:07:33.629946256Z,Response,received,client,client_1689790053610300816,1689790053629944088
,,2,2023-07-19T18:07:33.633251688Z,Response,received,client,client_1689790053612288766,1689790053633249498
,,3,2023-07-19T18:07:33.657040171Z,Response,received,client,client_1689790053638717785,1689790053657037951
,,4,2023-07-19T18:07:33.66383566Z,Response,received,client,client_1689790053644135045,1689790053663833572
,,5,2023-07-19T18:07:33.677351817Z,Response,received,client,client_1689790053650748480,1689790053677349653
,,6,2023-07-19T18:07:33.680010951Z,Response,received,client,client_1689790053662452861,1689790053680008737
,,7,2023-07-19T18:07:33.697869587Z,Response,received,client,client_1689790053678783923,1689790053697866339
,,8,2023-07-19T18:07:33.709441679Z,Response,received,client,client_1689790053682681431,1689790053709439384
,,9,2023-07-19T18:07:33.716256853Z,Response,received,client,client_1689790053685856557,1689790053716254041
,,10,2023-07-19T18:07:33.730379091Z,Response,received,client,client_1689790053700390805,1689790053730378012
,,11,2023-07-19T18:07:33.739631579Z,Response,received,client,client_1689790053717696725,1689790053739630778
,,12,2023-07-19T18:07:33.754472484Z,Response,received,client,client_1689790053736957446,1689790053754471485
,,13,2023-07-19T18:07:33.76971305Z,Response,received,client,client_1689790053739579831,1689790053769710892
,,14,2023-07-19T18:07:33.763876233Z,Response,received,client,client_1689790053747488827,1689790053763873305
,,15,2023-07-19T18:07:33.78454082Z,Response,received,client,client_1689790053766368710,1689790053784538404
,,16,2023-07-19T18:07:33.806122414Z,Response,received,client,client_1689790053780304951,1689790053806119422
,,17,2023-07-19T18:07:33.8676751Z,Response,received,client,client_1689790053846130770,1689790053867671888
,,18,2023-07-19T18:07:33.877723729Z,Response,received,client,client_1689790053858886107,1689790053877721203
,,19,2023-07-19T18:07:33.914428485Z,Response,received,client,client_1689790053895449511,1689790053914426215
,,20,2023-07-19T18:07:33.919307833Z,Response,received,client,client_1689790053895706339,1689790053919304547
,,21,2023-07-19T18:07:33.927491656Z,Response,received,client,client_1689790053909344260,1689790053927489214
,,22,2023-07-19T18:07:33.96770194Z,Response,received,client,client_1689790053949092450,1689790053967699005
,,23,2023-07-19T18:07:33.984293382Z,Response,received,client,client_1689790053962690670,1689790053984290616
,,24,2023-07-19T18:07:33.991887224Z,Response,received,client,client_1689790053969070885,1689790053991884724
,,25,2023-07-19T18:07:34.020863447Z,Response,received,client,client_1689790053993326915,1689790054020861027
,,26,2023-07-19T18:07:34.026596273Z,Response,received,client,client_1689790054004474798,1689790054026594358
