#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-19T17:58:36.846410673Z,New Request,sent,client,client_1689789516846170368,1689789516846408388
,,1,2023-07-19T17:58:36.855110069Z,New Request,sent,client,client_1689789516855043854,1689789516855107632
,,2,2023-07-19T17:58:36.868676165Z,New Request,sent,client,client_1689789516868550297,1689789516868674265
,,3,2023-07-19T17:58:36.870829103Z,New Request,sent,client,client_1689789516870779993,1689789516870827575
,,4,2023-07-19T17:58:36.897181968Z,New Request,sent,client,client_1689789516897069976,1689789516897179980
,,5,2023-07-19T17:58:36.902314032Z,New Request,sent,client,client_1689789516902229858,1689789516902312158
,,6,2023-07-19T17:58:36.909075827Z,New Request,sent,client,client_1689789516909021334,1689789516909074034
,,7,2023-07-19T17:58:36.921207674Z,New Request,sent,client,client_1689789516921086606,1689789516921205762
,,8,2023-07-19T17:58:36.937535092Z,New Request,sent,client,client_1689789516937473202,1689789516937533140
,,9,2023-07-19T17:58:36.941735416Z,New Request,sent,client,client_1689789516941643868,1689789516941733444
,,10,2023-07-19T17:58:36.944453397Z,New Request,sent,client,client_1689789516944353723,1689789516944451069
,,11,2023-07-19T17:58:36.95912499Z,New Request,sent,client,client_1689789516959064390,1689789516959123304
,,12,2023-07-19T17:58:36.9769159Z,New Request,sent,client,client_1689789516976856994,1689789516976913432
,,13,2023-07-19T17:58:36.996265206Z,New Request,sent,client,client_1689789516996202082,1689789516996262754
,,14,2023-07-19T17:58:36.999084302Z,New Request,sent,client,client_1689789516999020346,1689789516999082534
,,15,2023-07-19T17:58:37.006995064Z,New Request,sent,client,client_1689789517006913899,1689789517006993264
,,16,2023-07-19T17:58:37.026175045Z,New Request,sent,client,client_1689789517026080157,1689789517026173261
,,17,2023-07-19T17:58:37.040493134Z,New Request,sent,client,client_1689789517040408512,1689789517040491362
,,18,2023-07-19T17:58:37.107090637Z,New Request,sent,client,client_1689789517107033957,1689789517107088729
,,19,2023-07-19T17:58:37.119699322Z,New Request,sent,client,client_1689789517119635320,1689789517119697420
,,20,2023-07-19T17:58:37.156305558Z,New Request,sent,client,client_1689789517156199244,1689789517156273898
,,21,2023-07-19T17:58:37.156565678Z,New Request,sent,client,client_1689789517156456182,1689789517156563358
,,22,2023-07-19T17:58:37.170127303Z,New Request,sent,client,client_1689789517170042195,1689789517170125527
,,23,2023-07-19T17:58:37.210255179Z,New Request,sent,client,client_1689789517210190375,1689789517210253511
,,24,2023-07-19T17:58:37.223997832Z,New Request,sent,client,client_1689789517223936860,1689789517223996084
,,25,2023-07-19T17:58:37.229459741Z,New Request,sent,client,client_1689789517229400631,1689789517229457437
,,26,2023-07-19T17:58:37.254057244Z,New Request,sent,client,client_1689789517253977622,1689789517254054652
,,27,2023-07-19T17:58:37.264837005Z,New Request,sent,client,client_1689789517264764845,1689789517264835321
,,28,2023-07-19T17:58:37.279835126Z,New Request,sent,client,client_1689789517279738810,1689789517279833178
,,29,2023-07-19T17:58:37.306290987Z,New Request,sent,client,client_1689789517306256211,1689789517306289669
,,30,2023-07-19T17:58:37.309885473Z,New Request,sent,client,client_1689789517309842500,1689789517309884333
,,31,2023-07-19T17:58:37.329531735Z,New Request,sent,client,client_1689789517329482149,1689789517329530107
,,32,2023-07-19T17:58:37.343725556Z,New Request,sent,client,client_1689789517343625548,1689789517343723182
,,33,2023-07-19T17:58:37.357115298Z,New Request,sent,client,client_1689789517357046642,1689789517357113497
,,34,2023-07-19T17:58:37.369221033Z,New Request,sent,client,client_1689789517369166378,1689789517369219325
