#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-19T17:49:39.594044499Z,Response,received,client,client_1689788979571088088,1689788979594042406
,,1,2023-07-19T17:49:39.600371914Z,Response,received,client,client_1689788979580144045,1689788979600369582
,,2,2023-07-19T17:49:39.612099299Z,Response,received,client,client_1689788979593647101,1689788979612096879
,,3,2023-07-19T17:49:39.616617779Z,Response,received,client,client_1689788979595834205,1689788979616615421
,,4,2023-07-19T17:49:39.641151682Z,Response,received,client,client_1689788979622392153,1689788979641148250
,,5,2023-07-19T17:49:39.648165599Z,Response,received,client,client_1689788979628227305,1689788979648163478
,,6,2023-07-19T17:49:39.655735265Z,Response,received,client,client_1689788979634820577,1689788979655732927
,,7,2023-07-19T17:49:39.664226699Z,Response,received,client,client_1689788979646714655,1689788979664224833
,,8,2023-07-19T17:49:39.680342001Z,Response,received,client,client_1689788979662401473,1689788979680339708
,,9,2023-07-19T17:49:39.688796451Z,Response,received,client,client_1689788979666635484,1689788979688794060
,,10,2023-07-19T17:49:39.693432171Z,Response,received,client,client_1689788979669573413,1689788979693429415
,,11,2023-07-19T17:49:39.701287672Z,Response,received,client,client_1689788979684147550,1689788979701285390
,,12,2023-07-19T17:49:39.724396978Z,Response,received,client,client_1689788979701100828,1689788979724394786
,,13,2023-07-19T17:49:39.738841884Z,Response,received,client,client_1689788979720423472,1689788979738839655
,,14,2023-07-19T17:49:39.7429624Z,Response,received,client,client_1689788979723112623,1689788979742960136
,,15,2023-07-19T17:49:39.748503129Z,Response,received,client,client_1689788979730336366,1689788979748500968
,,16,2023-07-19T17:49:39.766738982Z,Response,received,client,client_1689788979748723421,1689788979766736430
,,17,2023-07-19T17:49:39.781548411Z,Response,received,client,client_1689788979763465618,1689788979781546065
,,18,2023-07-19T17:49:39.848737178Z,Response,received,client,client_1689788979830051282,1689788979848734191
,,19,2023-07-19T17:49:39.860503258Z,Response,received,client,client_1689788979843128975,1689788979860500591
,,20,2023-07-19T17:49:39.902126536Z,Response,received,client,client_1689788979879104047,1689788979902124252
,,21,2023-07-19T17:49:39.897790431Z,Response,received,client,client_1689788979879270361,1689788979897787347
,,22,2023-07-19T17:49:39.911995563Z,Response,received,client,client_1689788979893055350,1689788979911993108
,,23,2023-07-19T17:49:39.950742374Z,Response,received,client,client_1689788979933013880,1689788979950740252
,,24,2023-07-19T17:49:39.963630929Z,Response,received,client,client_1689788979946511507,1689788979963628658
,,25,2023-07-19T17:49:39.970395389Z,Response,received,client,client_1689788979952132517,1689788979970393258
,,26,2023-07-19T17:49:39.997803717Z,Response,received,client,client_1689788979976187410,1689788979997800672
,,27,2023-07-19T17:49:40.004654478Z,Response,received,client,client_1689788979987263111,1689788980004651913
,,28,2023-07-19T17:49:40.021312895Z,Response,received,client,client_1689788980003304467,1689788980021310436
,,29,2023-07-19T17:49:40.047798098Z,Response,received,client,client_1689788980029887516,1689788980047794584
,,30,2023-07-19T17:49:40.057024527Z,Response,received,client,client_1689788980033092405,1689788980057022263
,,31,2023-07-19T17:49:40.071155784Z,Response,received,client,client_1689788980053542207,1689788980071153773
,,32,2023-07-19T17:49:40.086038955Z,Response,received,client,client_1689788980067825604,1689788980086036102
,,33,2023-07-19T17:49:40.103821188Z,Response,received,client,client_1689788980081058346,1689788980103819144
,,34,2023-07-19T17:49:40.111258711Z,Response,received,client,client_1689788980093495411,1689788980111257045
,,35,2023-07-19T17:49:40.118716763Z,Response,received,client,client_1689788980099639183,1689788980118714519
