#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-19T18:25:30.207269051Z,New Request,sent,client,client_1689791130207177876,1689791130207267702
,,1,2023-07-19T18:25:30.216995165Z,New Request,sent,client,client_1689791130216900009,1689791130216993092
,,2,2023-07-19T18:25:30.230742238Z,New Request,sent,client,client_1689791130230653183,1689791130230739758
,,3,2023-07-19T18:25:30.232559858Z,New Request,sent,client,client_1689791130232514879,1689791130232558345
,,4,2023-07-19T18:25:30.259156388Z,New Request,sent,client,client_1689791130259083097,1689791130259154810
,,5,2023-07-19T18:25:30.264313094Z,New Request,sent,client,client_1689791130264252054,1689791130264311457
,,6,2023-07-19T18:25:30.271075751Z,New Request,sent,client,client_1689791130271000811,1689791130271073498
,,7,2023-07-19T18:25:30.28333421Z,New Request,sent,client,client_1689791130283257764,1689791130283332628
,,8,2023-07-19T18:25:30.29911159Z,New Request,sent,client,client_1689791130299062772,1689791130299109834
,,9,2023-07-19T18:25:30.302546965Z,New Request,sent,client,client_1689791130302513205,1689791130302545726
,,10,2023-07-19T18:25:30.305635058Z,New Request,sent,client,client_1689791130305579161,1689791130305633366
,,11,2023-07-19T18:25:30.320090907Z,New Request,sent,client,client_1689791130320039343,1689791130320089234
,,12,2023-07-19T18:25:30.337610471Z,New Request,sent,client,client_1689791130337549829,1689791130337608476
,,13,2023-07-19T18:25:30.357112251Z,New Request,sent,client,client_1689791130357015907,1689791130357109872
,,14,2023-07-19T18:25:30.360012326Z,New Request,sent,client,client_1689791130359946496,1689791130360009980
,,15,2023-07-19T18:25:30.368360207Z,New Request,sent,client,client_1689791130368275933,1689791130368358473
,,16,2023-07-19T18:25:30.387514763Z,New Request,sent,client,client_1689791130387406370,1689791130387512403
,,17,2023-07-19T18:25:30.40139194Z,New Request,sent,client,client_1689791130401321715,1689791130401389682
,,18,2023-07-19T18:25:30.467561327Z,New Request,sent,client,client_1689791130467471178,1689791130467559097
,,19,2023-07-19T18:25:30.480422336Z,New Request,sent,client,client_1689791130480324163,1689791130480420099
