#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-19T18:25:30.237425375Z,Response,received,client,client_1689791130207177876,1689791130237422815
,,1,2023-07-19T18:25:30.244532435Z,Response,received,client,client_1689791130216900009,1689791130244529935
,,2,2023-07-19T18:25:30.24911696Z,Response,received,client,client_1689791130230653183,1689791130249098496
,,3,2023-07-19T18:25:30.254553213Z,Response,received,client,client_1689791130232514879,1689791130254551808
,,4,2023-07-19T18:25:30.277876083Z,Response,received,client,client_1689791130259083097,1689791130277872798
,,5,2023-07-19T18:25:30.284481692Z,Response,received,client,client_1689791130264252054,1689791130284479896
,,6,2023-07-19T18:25:30.289363717Z,Response,received,client,client_1689791130271000811,1689791130289360904
,,7,2023-07-19T18:25:30.30247989Z,Response,received,client,client_1689791130283257764,1689791130302477440
,,8,2023-07-19T18:25:30.324064003Z,Response,received,client,client_1689791130299062772,1689791130324062153
,,9,2023-07-19T18:25:30.320651528Z,Response,received,client,client_1689791130302513205,1689791130320649154
,,10,2023-07-19T18:25:30.335134329Z,Response,received,client,client_1689791130305579161,1689791130335132278
,,11,2023-07-19T18:25:30.339375576Z,Response,received,client,client_1689791130320039343,1689791130339373876
,,12,2023-07-19T18:25:30.401199291Z,Response,received,client,client_1689791130337549829,1689791130401197208
,,13,2023-07-19T18:25:30.374184417Z,Response,received,client,client_1689791130357015907,1689791130374181699
,,14,2023-07-19T18:25:30.382902571Z,Response,received,client,client_1689791130359946496,1689791130382900731
,,15,2023-07-19T18:25:30.393533459Z,Response,received,client,client_1689791130368275933,1689791130393530379
,,16,2023-07-19T18:25:30.417401424Z,Response,received,client,client_1689791130387406370,1689791130417398573
,,17,2023-07-19T18:25:30.421163098Z,Response,received,client,client_1689791130401321715,1689791130421160977
,,18,2023-07-19T18:25:30.492599073Z,Response,received,client,client_1689791130467471178,1689791130492596600
,,19,2023-07-19T18:25:30.593051067Z,Response,received,client,client_1689791130480324163,1689791130593047567
,,20,2023-07-19T18:25:30.625235803Z,Response,received,client,client_1689791130516681527,1689791130625234037
,,21,2023-07-19T18:25:30.537166195Z,Response,received,client,client_1689791130516947283,1689791130537163957
,,22,2023-07-19T18:25:30.550886057Z,Response,received,client,client_1689791130530375737,1689791130550882766
,,23,2023-07-19T18:25:30.599588204Z,Response,received,client,client_1689791130569620413,1689791130599585791
,,24,2023-07-19T18:25:30.610964423Z,Response,received,client,client_1689791130582591714,1689791130610961509
,,25,2023-07-19T18:25:30.617308001Z,Response,received,client,client_1689791130588260603,1689791130617305132
,,26,2023-07-19T18:25:30.631181679Z,Response,received,client,client_1689791130612329503,1689791130631179323
,,27,2023-07-19T18:25:30.641609086Z,Response,received,client,client_1689791130623196273,1689791130641607040
,,28,2023-07-19T18:25:30.656679087Z,Response,received,client,client_1689791130638700104,1689791130656677007
,,29,2023-07-19T18:25:30.68264189Z,Response,received,client,client_1689791130665054062,1689791130682639019
