#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-20T08:16:12.47684942Z,Response,received,client,client_1689840972453744087,1689840972476847169
,,1,2023-07-20T08:16:12.485657637Z,Response,received,client,client_1689840972463363195,1689840972485655302
,,2,2023-07-20T08:16:12.495158215Z,Response,received,client,client_1689840972476143895,1689840972495156002
,,3,2023-07-20T08:16:12.498887223Z,Response,received,client,client_1689840972478291021,1689840972498884735
,,4,2023-07-20T08:16:12.521725271Z,Response,received,client,client_1689840972504362079,1689840972521723000
,,5,2023-07-20T08:16:12.529739614Z,Response,received,client,client_1689840972509638064,1689840972529737441
,,6,2023-07-20T08:16:12.534115441Z,Response,received,client,client_1689840972516397737,1689840972534113294
,,7,2023-07-20T08:16:12.548144621Z,Response,received,client,client_1689840972528540059,1689840972548141894
,,8,2023-07-20T08:16:12.564979762Z,Response,received,client,client_1689840972544670880,1689840972564977525
,,9,2023-07-20T08:16:12.569708645Z,Response,received,client,client_1689840972547990667,1689840972569706518
,,10,2023-07-20T08:16:12.573021478Z,Response,received,client,client_1689840972551222661,1689840972573019174
,,11,2023-07-20T08:16:12.583091471Z,Response,received,client,client_1689840972565017082,1689840972583088230
,,12,2023-07-20T08:16:12.602679839Z,Response,received,client,client_1689840972582461131,1689840972602677761
,,13,2023-07-20T08:16:12.619420101Z,Response,received,client,client_1689840972601278352,1689840972619417934
,,14,2023-07-20T08:16:12.622645147Z,Response,received,client,client_1689840972604070405,1689840972622643183
,,15,2023-07-20T08:16:12.630642211Z,Response,received,client,client_1689840972612138422,1689840972630640128
,,16,2023-07-20T08:16:12.648552084Z,Response,received,client,client_1689840972630455564,1689840972648549842
,,17,2023-07-20T08:16:12.662447583Z,Response,received,client,client_1689840972644812736,1689840972662444863
,,18,2023-07-20T08:16:12.72950238Z,Response,received,client,client_1689840972710962892,1689840972729500038
,,19,2023-07-20T08:16:12.74108637Z,Response,received,client,client_1689840972723665669,1689840972741084390
,,20,2023-07-20T08:16:12.783687644Z,Response,received,client,client_1689840972760382087,1689840972783685335
,,21,2023-07-20T08:16:12.78120505Z,Response,received,client,client_1689840972760659508,1689840972781202350
,,22,2023-07-20T08:16:12.793481338Z,Response,received,client,client_1689840972773857589,1689840972793478207
,,23,2023-07-20T08:16:12.833565231Z,Response,received,client,client_1689840972813183927,1689840972833563142
,,24,2023-07-20T08:16:12.844947352Z,Response,received,client,client_1689840972826539959,1689840972844945003
,,25,2023-07-20T08:16:12.849790183Z,Response,received,client,client_1689840972832259116,1689840972849787845
,,26,2023-07-20T08:16:12.875488979Z,Response,received,client,client_1689840972856579982,1689840972875485975
,,27,2023-07-20T08:16:12.888769989Z,Response,received,client,client_1689840972867951334,1689840972888767233
,,28,2023-07-20T08:16:12.900373135Z,Response,received,client,client_1689840972883412945,1689840972900369695
,,29,2023-07-20T08:16:12.92767638Z,Response,received,client,client_1689840972910024004,1689840972927673520
,,30,2023-07-20T08:16:12.931596278Z,Response,received,client,client_1689840972913027547,1689840972931594513
,,31,2023-07-20T08:16:12.949800276Z,Response,received,client,client_1689840972932865114,1689840972949797803
,,32,2023-07-20T08:16:12.964583677Z,Response,received,client,client_1689840972946838684,1689840972964581222
,,33,2023-07-20T08:16:12.981310646Z,Response,received,client,client_1689840972960885364,1689840972981308510
,,34,2023-07-20T08:16:12.996765907Z,Response,received,client,client_1689840972973244914,1689840972996762985
,,35,2023-07-20T08:16:13.000992219Z,Response,received,client,client_1689840972979474817,1689840973000990057
,,36,2023-07-20T08:16:13.005065212Z,Response,received,client,client_1689840972981518030,1689840973005062764
,,37,2023-07-20T08:16:13.008481677Z,Response,received,client,client_1689840972986675236,1689840973008480727
,,38,2023-07-20T08:16:13.0164979Z,Response,received,client,client_1689840972990212911,1689840973016495881
,,39,2023-07-20T08:16:13.030990956Z,Response,received,client,client_1689840973007437357,1689840973030988451
,,40,2023-07-20T08:16:13.042333763Z,Response,received,client,client_1689840973024075704,1689840973042331461
,,41,2023-07-20T08:16:13.046296237Z,Response,received,client,client_1689840973024772439,1689840973046293838
,,42,2023-07-20T08:16:13.08003004Z,Response,received,client,client_1689840973061254938,1689840973080026589
,,43,2023-07-20T08:16:13.086739757Z,Response,received,client,client_1689840973068667146,1689840973086737506
,,44,2023-07-20T08:16:13.1166531Z,Response,received,client,client_1689840973098413109,1689840973116650096
,,45,2023-07-20T08:16:13.125516277Z,Response,received,client,client_1689840973105721003,1689840973125514325
,,46,2023-07-20T08:16:13.138791095Z,Response,received,client,client_1689840973121176825,1689840973138788513
,,47,2023-07-20T08:16:13.167460177Z,Response,received,client,client_1689840973149286561,1689840973167458427
,,48,2023-07-20T08:16:13.183578631Z,Response,received,client,client_1689840973163422253,1689840973183576439
,,49,2023-07-20T08:16:13.196058201Z,Response,received,client,client_1689840973178357617,1689840973196055692
