#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-20T08:38:33.406015156Z,Response,received,client,client_1689842313385250212,1689842313406012080
,,1,2023-07-20T08:38:33.415534497Z,Response,received,client,client_1689842313387250819,1689842313415531953
,,2,2023-07-20T08:38:33.432395144Z,Response,received,client,client_1689842313413566961,1689842313432392688
,,3,2023-07-20T08:38:33.437910803Z,Response,received,client,client_1689842313419170594,1689842313437908604
,,4,2023-07-20T08:38:33.44318652Z,Response,received,client,client_1689842313425555390,1689842313443183351
,,5,2023-07-20T08:38:33.456013292Z,Response,received,client,client_1689842313437711731,1689842313455945856
,,6,2023-07-20T08:38:33.472005466Z,Response,received,client,client_1689842313453862109,1689842313472004152
,,7,2023-07-20T08:38:33.480380613Z,Response,received,client,client_1689842313457591171,1689842313480379692
,,8,2023-07-20T08:38:33.484807781Z,Response,received,client,client_1689842313460319599,1689842313484806928
,,9,2023-07-20T08:38:33.493466921Z,Response,received,client,client_1689842313474366123,1689842313493464810
,,10,2023-07-20T08:38:33.515829285Z,Response,received,client,client_1689842313492344853,1689842313515828169
,,11,2023-07-20T08:38:33.532313976Z,Response,received,client,client_1689842313510919846,1689842313532312838
,,12,2023-07-20T08:38:33.535544918Z,Response,received,client,client_1689842313513703864,1689842313535542629
,,13,2023-07-20T08:38:33.547859554Z,Response,received,client,client_1689842313521183927,1689842313547857188
,,14,2023-07-20T08:38:33.55752516Z,Response,received,client,client_1689842313540164870,1689842313557522131
,,15,2023-07-20T08:38:33.579955302Z,Response,received,client,client_1689842313554373041,1689842313579952933
,,16,2023-07-20T08:38:33.637731248Z,Response,received,client,client_1689842313620467847,1689842313637728868
,,17,2023-07-20T08:38:33.653750331Z,Response,received,client,client_1689842313632811691,1689842313653747601
,,18,2023-07-20T08:38:33.688105224Z,Response,received,client,client_1689842313669564143,1689842313688101768
,,19,2023-07-20T08:38:33.699705029Z,Response,received,client,client_1689842313669874943,1689842313699701905
,,20,2023-07-20T08:38:33.70072587Z,Response,received,client,client_1689842313682684704,1689842313700722055
,,21,2023-07-20T08:38:33.754441261Z,Response,received,client,client_1689842313722506126,1689842313754437887
