#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-20T08:31:06.437993515Z,Response,received,client,client_1689841866416350744,1689841866437990204
,,1,2023-07-20T08:31:06.445224836Z,Response,received,client,client_1689841866425619107,1689841866445221641
,,2,2023-07-20T08:31:06.456985394Z,Response,received,client,client_1689841866438302152,1689841866456982422
,,3,2023-07-20T08:31:06.46073153Z,Response,received,client,client_1689841866440220046,1689841866460728901
,,4,2023-07-20T08:31:06.4848054Z,Response,received,client,client_1689841866466680795,1689841866484802505
,,5,2023-07-20T08:31:06.491305898Z,Response,received,client,client_1689841866472019736,1689841866491303401
,,6,2023-07-20T08:31:06.496170398Z,Response,received,client,client_1689841866479088730,1689841866496167832
,,7,2023-07-20T08:31:06.508850334Z,Response,received,client,client_1689841866490948206,1689841866508848108
,,8,2023-07-20T08:31:06.525721979Z,Response,received,client,client_1689841866506748907,1689841866525718738
,,9,2023-07-20T08:31:06.530284044Z,Response,received,client,client_1689841866510158476,1689841866530280518
,,10,2023-07-20T08:31:06.533559516Z,Response,received,client,client_1689841866512596220,1689841866533556949
,,11,2023-07-20T08:31:06.557416659Z,Response,received,client,client_1689841866527136281,1689841866557413628
,,12,2023-07-20T08:31:06.564007397Z,Response,received,client,client_1689841866544635226,1689841866564005087
,,13,2023-07-20T08:31:06.592147616Z,Response,received,client,client_1689841866563053113,1689841866592144931
,,14,2023-07-20T08:31:06.583817307Z,Response,received,client,client_1689841866565859448,1689841866583814735
,,15,2023-07-20T08:31:06.591794676Z,Response,received,client,client_1689841866573462366,1689841866591792356
,,16,2023-07-20T08:31:06.61188141Z,Response,received,client,client_1689841866591803464,1689841866611879422
,,17,2023-07-20T08:31:06.627969372Z,Response,received,client,client_1689841866606330285,1689841866627966886
,,18,2023-07-20T08:31:06.693121598Z,Response,received,client,client_1689841866672466848,1689841866693119241
,,19,2023-07-20T08:31:06.709063239Z,Response,received,client,client_1689841866684783937,1689841866709060367
,,20,2023-07-20T08:31:06.748160785Z,Response,received,client,client_1689841866720913948,1689841866748158166
,,21,2023-07-20T08:31:06.74474927Z,Response,received,client,client_1689841866721205564,1689841866744746486
,,22,2023-07-20T08:31:06.756204186Z,Response,received,client,client_1689841866734535509,1689841866756201536
,,23,2023-07-20T08:31:06.792821555Z,Response,received,client,client_1689841866774318113,1689841866792819395
,,24,2023-07-20T08:31:06.817278152Z,Response,received,client,client_1689841866788010483,1689841866817275484
,,25,2023-07-20T08:31:06.825414191Z,Response,received,client,client_1689841866794124920,1689841866825411713
,,26,2023-07-20T08:31:06.843443927Z,Response,received,client,client_1689841866818616438,1689841866843441169
,,27,2023-07-20T08:31:06.863401042Z,Response,received,client,client_1689841866829921393,1689841866863396967
,,28,2023-07-20T08:31:06.872034055Z,Response,received,client,client_1689841866844935976,1689841866872030715
,,29,2023-07-20T08:31:06.89944539Z,Response,received,client,client_1689841866871783755,1689841866899442641
,,30,2023-07-20T08:31:06.902610119Z,Response,received,client,client_1689841866874789859,1689841866902607774
,,31,2023-07-20T08:31:06.926395009Z,Response,received,client,client_1689841866895057232,1689841866926392784
,,32,2023-07-20T08:31:06.937453022Z,Response,received,client,client_1689841866909112022,1689841866937451209
,,33,2023-07-20T08:31:06.953167987Z,Response,received,client,client_1689841866922664801,1689841866953164700
,,34,2023-07-20T08:31:06.976173926Z,Response,received,client,client_1689841866934803563,1689841866976170887
,,35,2023-07-20T08:31:06.980658566Z,Response,received,client,client_1689841866940981105,1689841866980655473
,,36,2023-07-20T08:31:06.98466303Z,Response,received,client,client_1689841866943165994,1689841866984659954
