#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-20T08:53:27.449042228Z,Response,received,client,client_1689843207427440298,1689843207449039800
,,1,2023-07-20T08:53:27.463828637Z,Response,received,client,client_1689843207436886454,1689843207463826257
,,2,2023-07-20T08:53:27.479513115Z,Response,received,client,client_1689843207450395861,1689843207479510611
,,3,2023-07-20T08:53:27.491436292Z,Response,received,client,client_1689843207452363860,1689843207491432952
,,4,2023-07-20T08:53:27.539982603Z,Response,received,client,client_1689843207478512875,1689843207539979550
,,5,2023-07-20T08:53:27.548844684Z,Response,received,client,client_1689843207483445668,1689843207548842230
,,6,2023-07-20T08:53:27.555678218Z,Response,received,client,client_1689843207490949984,1689843207555644307
,,7,2023-07-20T08:53:27.570477717Z,Response,received,client,client_1689843207502833596,1689843207570476667
,,8,2023-07-20T08:53:27.592859422Z,Response,received,client,client_1689843207518852534,1689843207592857070
,,9,2023-07-20T08:53:27.613652877Z,Response,received,client,client_1689843207522918183,1689843207613650643
,,10,2023-07-20T08:53:27.599972311Z,Response,received,client,client_1689843207525490934,1689843207599969703
,,11,2023-07-20T08:53:27.611357783Z,Response,received,client,client_1689843207539649163,1689843207611355672
,,12,2023-07-20T08:53:27.626335953Z,Response,received,client,client_1689843207557003499,1689843207626333562
,,13,2023-07-20T08:53:27.653300088Z,Response,received,client,client_1689843207575980395,1689843207653297688
,,14,2023-07-20T08:53:27.699432706Z,Response,received,client,client_1689843207578839685,1689843207699430226
,,15,2023-07-20T08:53:27.668587243Z,Response,received,client,client_1689843207586502802,1689843207668584469
,,16,2023-07-20T08:53:27.687594549Z,Response,received,client,client_1689843207605393410,1689843207687592051
,,17,2023-07-20T08:53:27.721669021Z,Response,received,client,client_1689843207620161393,1689843207721665488
,,18,2023-07-20T08:53:27.744576569Z,Response,received,client,client_1689843207686123483,1689843207744574461
,,19,2023-07-20T08:53:27.827789618Z,Response,received,client,client_1689843207698305926,1689843207827787486
,,20,2023-07-20T08:53:27.796869096Z,Response,received,client,client_1689843207735145641,1689843207796866611
,,21,2023-07-20T08:53:27.801792487Z,Response,received,client,client_1689843207735471030,1689843207801789396
,,22,2023-07-20T08:53:27.778521641Z,Response,received,client,client_1689843207749084702,1689843207778518989
,,23,2023-07-20T08:53:27.845850887Z,Response,received,client,client_1689843207789332581,1689843207845848767
,,24,2023-07-20T08:53:27.91383488Z,Response,received,client,client_1689843207803178667,1689843207913832754
,,25,2023-07-20T08:53:27.858285673Z,Response,received,client,client_1689843207809309048,1689843207858283577
,,26,2023-07-20T08:53:27.86312759Z,Response,received,client,client_1689843207833270779,1689843207863125665
,,27,2023-07-20T08:53:27.89129733Z,Response,received,client,client_1689843207843909200,1689843207891295244
,,28,2023-07-20T08:53:27.914808791Z,Response,received,client,client_1689843207859616021,1689843207914806111
,,29,2023-07-20T08:53:28.0289463Z,Response,received,client,client_1689843207886977690,1689843208028944530
,,30,2023-07-20T08:53:28.039722259Z,Response,received,client,client_1689843207890502349,1689843208039720385
,,31,2023-07-20T08:53:27.958244032Z,Response,received,client,client_1689843207910617514,1689843207958241791
,,32,2023-07-20T08:53:27.956657739Z,Response,received,client,client_1689843207924935934,1689843207956654993
,,33,2023-07-20T08:53:27.982736882Z,Response,received,client,client_1689843207938389197,1689843207982733729
,,34,2023-07-20T08:53:27.982170681Z,Response,received,client,client_1689843207950542491,1689843207982156479
,,35,2023-07-20T08:53:28.094954911Z,Response,received,client,client_1689843207956261445,1689843208094952477
,,36,2023-07-20T08:53:28.105573138Z,Response,received,client,client_1689843207958285747,1689843208105570922
,,37,2023-07-20T08:53:28.116266643Z,Response,received,client,client_1689843207963464217,1689843208116264876
,,38,2023-07-20T08:53:28.126101729Z,Response,received,client,client_1689843207967069468,1689843208126099574
,,39,2023-07-20T08:53:28.024152889Z,Response,received,client,client_1689843207984285873,1689843208024150038
,,40,2023-07-20T08:53:28.179350861Z,Response,received,client,client_1689843208000490166,1689843208179349105
,,41,2023-07-20T08:53:28.037561971Z,Response,received,client,client_1689843208000883284,1689843208037559684
,,42,2023-07-20T08:53:28.072725648Z,Response,received,client,client_1689843208037011047,1689843208072722983
,,43,2023-07-20T08:53:28.09135042Z,Response,received,client,client_1689843208044069315,1689843208091347940
,,44,2023-07-20T08:53:28.114053663Z,Response,received,client,client_1689843208074134304,1689843208114050763
,,45,2023-07-20T08:53:28.14068611Z,Response,received,client,client_1689843208082345228,1689843208140683714
,,46,2023-07-20T08:53:28.349099833Z,Response,received,client,client_1689843208097476041,1689843208349098681
