#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,string,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,eventType,idDevice,idRequest,timestamp
,,0,2023-07-20T08:08:45.153785971Z,New Request,sent,client,client_1689840525153548051,1689840525153783355
,,1,2023-07-20T08:08:45.163816876Z,New Request,sent,client,client_1689840525163233984,1689840525163812562
,,2,2023-07-20T08:08:45.176115842Z,New Request,sent,client,client_1689840525175868077,1689840525176113617
,,3,2023-07-20T08:08:45.178011238Z,New Request,sent,client,client_1689840525177908543,1689840525178009685
,,4,2023-07-20T08:08:45.2039273Z,New Request,sent,client,client_1689840525203790012,1689840525203925116
,,5,2023-07-20T08:08:45.209244513Z,New Request,sent,client,client_1689840525209134195,1689840525209242522
,,6,2023-07-20T08:08:45.216156029Z,New Request,sent,client,client_1689840525216080245,1689840525216153365
,,7,2023-07-20T08:08:45.227603795Z,New Request,sent,client,client_1689840525227540047,1689840525227601807
,,8,2023-07-20T08:08:45.242938276Z,New Request,sent,client,client_1689840525242875252,1689840525242936630
,,9,2023-07-20T08:08:45.24661351Z,New Request,sent,client,client_1689840525246539232,1689840525246610358
,,10,2023-07-20T08:08:45.249842485Z,New Request,sent,client,client_1689840525249791009,1689840525249840873
,,11,2023-07-20T08:08:45.264454332Z,New Request,sent,client,client_1689840525264361130,1689840525264452474
,,12,2023-07-20T08:08:45.281402328Z,New Request,sent,client,client_1689840525281329289,1689840525281400344
,,13,2023-07-20T08:08:45.299867376Z,New Request,sent,client,client_1689840525299787094,1689840525299865322
,,14,2023-07-20T08:08:45.302852316Z,New Request,sent,client,client_1689840525302791866,1689840525302850902
,,15,2023-07-20T08:08:45.310460359Z,New Request,sent,client,client_1689840525310370327,1689840525310458351
,,16,2023-07-20T08:08:45.328887672Z,New Request,sent,client,client_1689840525328786166,1689840525328885440
,,17,2023-07-20T08:08:45.34331789Z,New Request,sent,client,client_1689840525343059366,1689840525343316000
,,18,2023-07-20T08:08:45.409167962Z,New Request,sent,client,client_1689840525409075509,1689840525409165342
,,19,2023-07-20T08:08:45.421325554Z,New Request,sent,client,client_1689840525421204936,1689840525421322443
,,20,2023-07-20T08:08:45.457304258Z,New Request,sent,client,client_1689840525457089752,1689840525457301447
,,21,2023-07-20T08:08:45.457720342Z,New Request,sent,client,client_1689840525457497074,1689840525457717874
,,22,2023-07-20T08:08:45.471045523Z,New Request,sent,client,client_1689840525470916703,1689840525471043539
,,23,2023-07-20T08:08:45.511194977Z,New Request,sent,client,client_1689840525511044099,1689840525511192843
,,24,2023-07-20T08:08:45.524942657Z,New Request,sent,client,client_1689840525524876321,1689840525524940757
,,25,2023-07-20T08:08:45.530657953Z,New Request,sent,client,client_1689840525530584041,1689840525530655574
,,26,2023-07-20T08:08:45.55506166Z,New Request,sent,client,client_1689840525554985701,1689840525555059430
,,27,2023-07-20T08:08:45.566324951Z,New Request,sent,client,client_1689840525566250805,1689840525566320438
,,28,2023-07-20T08:08:45.582203882Z,New Request,sent,client,client_1689840525582107194,1689840525582202166
